account_number;period;tariff;charged_amount;paid_amount;balance;last_payment_date;inn;phone;status
ЛС-164422583;2025-11;Бизнес-1000;15169.12;15169.12;0.0;2025-11-27;8312172715;+7(951)826-18-80;active
ЛС-164422583;2025-12;Бизнес-1000;18341.08;18341.08;0.0;2025-12-14;8312172715;+7(951)826-18-80;active
ЛС-161323705;2025-10;Бизнес-1000;15687.46;15687.46;0.0;2025-10-03;8312172715;+7(951)826-18-80;active
ЛС-161323705;2025-11;Бизнес-1000;18535.85;23314.56;4778.71;2025-11-12;8312172715;+7(951)826-18-80;active
ЛС-161323705;2025-12;Бизнес-1000;15302.25;15302.25;4778.71;2025-12-20;8312172715;+7(951)826-18-80;active
ЛС-168957829;2025-10;Бизнес-1000;19563.76;19563.76;0.0;2025-10-01;8312172715;+7(951)826-18-80;active
ЛС-168957829;2025-11;Бизнес-1000;15033.06;15033.06;0.0;2025-11-01;8312172715;+7(951)826-18-80;active
ЛС-168957829;2025-12;Бизнес-1000;15083.63;15083.63;0.0;2025-12-18;8312172715;+7(951)826-18-80;active
ЛС-161146786;2025-10;Бизнес-1000;19887.4;28010.35;8122.95;2025-10-22;8312172715;+7(951)826-18-80;active
ЛС-161146786;2025-11;Бизнес-1000;17152.87;17152.87;8122.95;2025-11-06;8312172715;+7(951)826-18-80;active
ЛС-161146786;2025-12;Бизнес-1000;15535.08;0.0;-7412.13;;8312172715;+7(951)826-18-80;active
ЛС-166912517;2025-10;Бизнес-1000;17632.28;17632.28;0.0;2025-10-09;8312172715;+7(951)826-18-80;suspended
ЛС-166912517;2025-11;Бизнес-1000;18974.68;5225.6;-13749.08;2025-11-08;8312172715;+7(951)826-18-80;suspended
ЛС-166912517;2025-12;Бизнес-1000;19951.17;19951.17;-13749.08;2025-12-22;8312172715;+7(951)826-18-80;suspended
ЛС-548917879;2025-10;Всё включено;2257.62;2257.62;0.0;2025-10-25;926899962697;89036403979;active
ЛС-548917879;2025-11;Всё включено;1822.18;1822.18;0.0;2025-11-13;926899962697;89036403979;active
ЛС-548917879;2025-12;Всё включено;2186.89;0.0;-2186.89;;926899962697;89036403979;active
ЛС-784963788;2025-10;Всё включено;2391.73;2391.73;0.0;2025-10-11;663163129755;7980937-32-63;active
ЛС-784963788;2025-11;Всё включено;2196.1;2196.1;0.0;2025-11-04;663163129755;7980937-32-63;active
ЛС-784963788;2025-12;Всё включено;2426.35;2426.35;0.0;2025-12-08;663163129755;7980937-32-63;active
ЛС-547287286;2025-10;Игровой;1505.71;1505.71;0.0;2025-10-19;878811616202;+7(909)270-35-66;active
ЛС-547287286;2025-11;Игровой;1637.75;1713.79;76.04;2025-11-09;878811616202;+7(909)270-35-66;active
ЛС-547287286;2025-12;Игровой;1849.66;1849.66;76.04;2025-12-02;878811616202;+7(909)270-35-66;active
ЛС-616049910;2025-10;Домашний-100;735.75;735.75;0.0;2025-10-07;240984101679;89161381942;active
ЛС-616049910;2025-11;Домашний-100;667.41;667.41;0.0;2025-11-23;240984101679;89161381942;active
ЛС-616049910;2025-12;Домашний-100;714.18;714.18;0.0;2025-12-10;240984101679;89161381942;active
ЛС-162756041;2025-10;Корпоративный+;54873.51;54873.51;0.0;2025-10-27;5518376064;+7(926)192-40-48;active
ЛС-162756041;2025-11;Корпоративный+;75483.27;75483.27;0.0;2025-11-18;5518376064;+7(926)192-40-48;active
ЛС-162756041;2025-12;Корпоративный+;59951.9;59951.9;0.0;2025-12-05;5518376064;+7(926)192-40-48;active
ЛС-167765612;2025-10;Корпоративный+;73714.94;73714.94;0.0;2025-10-03;5518376064;+7(926)192-40-48;active
ЛС-167765612;2025-11;Корпоративный+;65023.79;65023.79;0.0;2025-11-02;5518376064;+7(926)192-40-48;active
ЛС-167765612;2025-12;Корпоративный+;52930.57;52930.57;0.0;2025-12-03;5518376064;+7(926)192-40-48;active
ЛС-783343751;2025-10;Всё включено;2223.62;2223.62;0.0;2025-10-20;524066283463;7916925-48-96;active
ЛС-783343751;2025-11;Всё включено;2077.69;2077.69;0.0;2025-11-01;524066283463;7916925-48-96;active
ЛС-783343751;2025-12;Всё включено;2243.89;2243.89;0.0;2025-12-15;524066283463;7916925-48-96;active
ЛС-663215401;2025-10;Домашний-300;947.18;947.18;0.0;2025-10-13;746391381074;+7(909)773-58-25;active
ЛС-663215401;2025-11;Домашний-300;929.55;929.55;0.0;2025-11-22;746391381074;+7(909)773-58-25;active
ЛС-663215401;2025-12;Домашний-300;914.02;914.02;0.0;2025-12-10;746391381074;+7(909)773-58-25;active
ЛС-546426018;2025-10;Домашний-500;1519.22;1519.22;0.0;2025-10-03;344614409233;+7(951)164-68-48;active
ЛС-546426018;2025-11;Домашний-500;1307.19;1307.19;0.0;2025-11-26;344614409233;+7(951)164-68-48;active
ЛС-546426018;2025-12;Домашний-500;1453.56;1453.56;0.0;2025-12-11;344614409233;+7(951)164-68-48;active
ЛС-619906931;2025-10;Домашний-100;622.14;166.01;-456.13;2025-10-25;856264126084;+7(909)623-93-66;active
ЛС-619906931;2025-11;Домашний-100;603.95;0.0;-1060.08;;856264126084;+7(909)623-93-66;active
ЛС-619906931;2025-12;Домашний-100;660.95;660.95;-1060.08;2025-12-01;856264126084;+7(909)623-93-66;active
ЛС-783395211;2025-10;Бизнес-1000;16769.57;3264.33;-13505.24;2025-10-13;6539423733;89179934336;active
ЛС-783395211;2025-11;Бизнес-1000;15061.7;15061.7;-13505.24;2025-11-25;6539423733;89179934336;active
ЛС-783395211;2025-12;Бизнес-1000;15423.5;15423.5;-13505.24;2025-12-08;6539423733;89179934336;active
ЛС-781790807;2025-10;Бизнес-1000;17859.8;1487.79;-16372.01;2025-10-10;6539423733;+7(917)993-43-36;active
ЛС-781790807;2025-11;Бизнес-1000;16342.03;0.0;-32714.04;;6539423733;+7(917)993-43-36;active
ЛС-781790807;2025-12;Бизнес-1000;16498.76;16498.76;-32714.04;2025-12-12;6539423733;+7(917)993-43-36;active
ЛС-169681645;2025-10;Корпоративный;28775.5;28775.5;0.0;2025-10-21;7416052975;+7(906)547-23-41;active
ЛС-169681645;2025-11;Корпоративный;32437.04;32437.04;0.0;2025-11-15;7416052975;+7(906)547-23-41;active
ЛС-169681645;2025-12;Корпоративный;26604.59;26604.59;0.0;2025-12-13;7416052975;+7(906)547-23-41;active
ЛС-163521818;2025-10;Корпоративный;29983.26;29983.26;0.0;2025-10-26;7416052975;+7(906)547-23-41;active
ЛС-163521818;2025-11;Корпоративный;37932.97;37932.97;0.0;2025-11-14;7416052975;+7(906)547-23-41;active
ЛС-163521818;2025-12;Корпоративный;37232.13;37232.13;0.0;2025-12-20;7416052975;+7(906)547-23-41;active
ЛС-168355231;2025-10;Корпоративный;27041.87;27041.87;0.0;2025-10-23;7416052975;+7(906)547-23-41;active
ЛС-168355231;2025-11;Корпоративный;28012.77;28012.77;0.0;2025-11-13;7416052975;+7(906)547-23-41;active
ЛС-168355231;2025-12;Корпоративный;39530.88;39530.88;0.0;2025-12-23;7416052975;+7(906)547-23-41;active
ЛС-162432921;2025-10;Корпоративный;34493.54;34493.54;0.0;2025-10-26;7416052975;+7(906)547-23-41;active
ЛС-162432921;2025-11;Корпоративный;28636.36;28636.36;0.0;2025-11-27;7416052975;+7(906)547-23-41;active
ЛС-162432921;2025-12;Корпоративный;36788.0;36788.0;0.0;2025-12-19;7416052975;+7(906)547-23-41;active
ЛС-786108143;2025-10;Игровой;1499.9;1499.9;0.0;2025-10-06;420018676610;+7(903)620-90-86;active
ЛС-786108143;2025-11;Игровой;1740.86;1740.86;0.0;2025-11-24;420018676610;+7(903)620-90-86;active
ЛС-786108143;2025-12;Игровой;1630.81;1630.81;0.0;2025-12-15;420018676610;+7(903)620-90-86;active
ЛС-166661889;2025-10;Бизнес-100;4662.56;2224.17;-2438.39;2025-10-22;8109104300;7960618-46-90;active
ЛС-166661889;2025-11;Бизнес-100;3998.61;3998.61;-2438.39;2025-11-08;8109104300;7960618-46-90;active
ЛС-166661889;2025-12;Бизнес-100;3505.36;792.89;-5150.86;2025-12-15;8109104300;7960618-46-90;active
ЛС-162414183;2025-10;Бизнес-100;4981.4;4981.4;0.0;2025-10-13;8109104300;+7(960)618-46-90;active
ЛС-162414183;2025-11;Бизнес-100;4068.73;4068.73;0.0;2025-11-28;8109104300;+7(960)618-46-90;active
ЛС-162414183;2025-12;Бизнес-100;4383.42;4383.42;0.0;2025-12-26;8109104300;+7(960)618-46-90;active
ЛС-162856914;2025-10;Бизнес-100;4936.86;4936.86;0.0;2025-10-26;8109104300;+7(960)618-46-90;active
ЛС-162856914;2025-11;Бизнес-100;4073.81;4073.81;0.0;2025-11-03;8109104300;+7(960)618-46-90;active
ЛС-162856914;2025-12;Бизнес-100;3218.74;3218.74;0.0;2025-12-22;8109104300;+7(960)618-46-90;active
ЛС-166303161;2025-10;Бизнес-100;3710.02;3710.02;0.0;2025-10-02;8109104300;+7(960)618-46-90;active
ЛС-166303161;2025-11;Бизнес-100;4126.44;4126.44;0.0;2025-11-21;8109104300;+7(960)618-46-90;active
ЛС-166303161;2025-12;Бизнес-100;3799.24;3799.24;0.0;2025-12-26;8109104300;+7(960)618-46-90;active
ЛС-167990421;2025-10;Бизнес-100;3860.91;4389.01;528.1;2025-10-17;8109104300;+7(960)618-46-90;active
ЛС-167990421;2025-11;Бизнес-100;4493.71;4493.71;528.1;2025-11-23;8109104300;+7(960)618-46-90;active
ЛС-167990421;2025-12;Бизнес-100;4150.47;4150.47;528.1;2025-12-13;8109104300;+7(960)618-46-90;active
ЛС-668131045;2025-10;Домашний-500;1385.23;1385.23;0.0;2025-10-23;993652944716;+7(906)739-75-28;active
ЛС-668131045;2025-11;Домашний-500;1400.19;1400.19;0.0;2025-11-01;993652944716;+7(906)739-75-28;active
ЛС-668131045;2025-12;Домашний-500;1393.11;1393.11;0.0;2025-12-03;993652944716;+7(906)739-75-28;active
ЛС-782027061;2025-10;Домашний-100;573.21;573.21;0.0;2025-10-05;812436585856;+7(926)880-26-37;active
ЛС-782027061;2025-11;Домашний-100;619.67;619.67;0.0;2025-11-26;812436585856;+7(926)880-26-37;active
ЛС-782027061;2025-12;Домашний-100;591.37;591.37;0.0;2025-12-16;812436585856;+7(926)880-26-37;active
ЛС-165977216;2025-10;Всё включено;1868.34;1868.34;0.0;2025-10-15;805916118638;+7(951)440-80-80;active
ЛС-165977216;2025-11;Всё включено;2023.24;2023.24;0.0;2025-11-26;805916118638;+7(951)440-80-80;active
ЛС-165977216;2025-12;Всё включено;2297.55;2706.76;409.21;2025-12-04;805916118638;+7(951)440-80-80;active
ЛС-777624671;2025-10;Корпоративный+;70314.18;10290.32;-60023.86;2025-10-06;7167567700;+7(915)670-94-48;active
ЛС-777624671;2025-11;Корпоративный+;66557.31;66557.31;-60023.86;2025-11-14;7167567700;+7(915)670-94-48;active
ЛС-777624671;2025-12;Корпоративный+;78753.88;78753.88;-60023.86;2025-12-13;7167567700;+7(915)670-94-48;active
ЛС-779788977;2025-10;Корпоративный+;55533.55;55533.55;0.0;2025-10-14;7167567700;+7 915 670 94 48;active
ЛС-779788977;2025-11;Корпоративный+;61867.47;61867.47;0.0;2025-11-07;7167567700;+7 915 670 94 48;active
ЛС-779788977;2025-12;Корпоративный+;63487.25;63487.25;0.0;2025-12-01;7167567700;+7 915 670 94 48;active
ЛС-617347853;2025-10;Игровой;1752.37;1752.37;0.0;2025-10-25;847485994641;+7(916)921-87-74;active
ЛС-617347853;2025-11;Игровой;1751.88;1751.88;0.0;2025-11-19;847485994641;+7(916)921-87-74;active
ЛС-617347853;2025-12;Игровой;1450.88;1450.88;0.0;2025-12-06;847485994641;+7(916)921-87-74;active
ЛС-660866281;2025-10;Всё включено;2056.06;0.0;-2056.06;2025-08-17;212218231555;+7(906)522-53-18;active
ЛС-660866281;2025-11;Всё включено;2476.14;2476.14;-2056.06;2025-11-13;212218231555;+7(906)522-53-18;active
ЛС-660866281;2025-12;Всё включено;2227.92;2227.92;-2056.06;2025-12-12;212218231555;+7(906)522-53-18;active
ЛС-785705120;2025-10;Бизнес-1000;16759.92;16759.92;0.0;2025-10-06;5427031207;+7(916)450-63-49;suspended
ЛС-785705120;2025-11;Бизнес-1000;19068.69;19068.69;0.0;2025-11-10;5427031207;+7(916)450-63-49;suspended
ЛС-785705120;2025-12;Бизнес-1000;19593.41;19593.41;0.0;2025-12-22;5427031207;+7(916)450-63-49;suspended
ЛС-784618723;2025-10;Бизнес-1000;16565.93;16565.93;0.0;2025-10-04;5427031207;89164506349;active
ЛС-784618723;2025-11;Бизнес-1000;15915.22;15915.22;0.0;2025-11-17;5427031207;89164506349;active
ЛС-784618723;2025-12;Бизнес-1000;16942.32;16942.32;0.0;2025-12-19;5427031207;89164506349;active
ЛС-784601367;2025-10;Бизнес-1000;16918.55;7039.13;-9879.42;2025-10-21;5427031207;+7(916)450-63-49;active
ЛС-784601367;2025-11;Бизнес-1000;19653.47;0.0;-29532.89;;5427031207;+7(916)450-63-49;active
ЛС-784601367;2025-12;Бизнес-1000;15935.49;15935.49;-29532.89;2025-12-20;5427031207;+7(916)450-63-49;active
ЛС-783037183;2025-10;Бизнес-1000;15268.06;15268.06;0.0;2025-10-01;5427031207;+7(916)450-63-49;active
ЛС-783037183;2025-11;Бизнес-1000;17423.04;5870.68;-11552.36;2025-11-21;5427031207;+7(916)450-63-49;active
ЛС-783037183;2025-12;Бизнес-1000;17474.85;17474.85;-11552.36;2025-12-14;5427031207;+7(916)450-63-49;active
ЛС-772345653;2025-10;Игровой;1755.07;1755.07;0.0;2025-10-06;279993242024;+7(917)555-49-44;active
ЛС-772345653;2025-11;Игровой;1441.34;1993.25;551.91;2025-11-10;279993242024;+7(917)555-49-44;active
ЛС-772345653;2025-12;Игровой;1416.35;1416.35;551.91;2025-12-10;279993242024;+7(917)555-49-44;active
ЛС-783428644;2025-10;Домашний-300;850.46;850.46;0.0;2025-10-24;233252861323;+7(925)443-62-96;active
ЛС-783428644;2025-11;Домашний-300;1031.76;1031.76;0.0;2025-11-17;233252861323;+7(925)443-62-96;active
ЛС-783428644;2025-12;Домашний-300;833.96;411.95;-422.01;2025-12-12;233252861323;+7(925)443-62-96;active
ЛС-545904265;2025-10;Домашний-300;1046.78;1426.03;379.25;2025-10-18;453127943379;+7 950 292 20 22;active
ЛС-545904265;2025-11;Домашний-300;865.56;865.56;379.25;2025-11-24;453127943379;+7 950 292 20 22;active
ЛС-545904265;2025-12;Домашний-300;1049.02;1049.02;379.25;2025-12-10;453127943379;+7 950 292 20 22;active
ЛС-789108450;2025-10;Домашний-300;1062.44;1209.88;147.44;2025-10-28;736815418589;+7(905)161-29-67;active
ЛС-789108450;2025-11;Домашний-300;1045.02;1045.02;147.44;2025-11-04;736815418589;+7(905)161-29-67;active
ЛС-789108450;2025-12;Домашний-300;1032.69;1032.69;147.44;2025-12-26;736815418589;+7(905)161-29-67;active
ЛС-786249753;2025-10;Игровой;1693.96;1693.96;0.0;2025-10-23;469318062007;+7 916 120 27 43;closed
ЛС-786249753;2025-11;Игровой;1705.13;1705.13;0.0;2025-11-20;469318062007;+7 916 120 27 43;closed
ЛС-786249753;2025-12;Игровой;1469.62;1469.62;0.0;2025-12-07;469318062007;+7 916 120 27 43;closed
ЛС-783958558;2025-10;Всё включено;2199.05;2199.05;0.0;2025-10-20;103622117327;89812606444;active
ЛС-783958558;2025-11;Всё включено;2177.14;2177.14;0.0;2025-11-23;103622117327;89812606444;active
ЛС-783958558;2025-12;Всё включено;2004.84;2004.84;0.0;2025-12-28;103622117327;89812606444;active
ЛС-770309016;2025-10;Всё включено;2160.09;2160.09;0.0;2025-10-27;666851353814;+7(916)588-49-68;suspended
ЛС-770309016;2025-11;Всё включено;1866.66;1866.66;0.0;2025-11-26;666851353814;+7(916)588-49-68;suspended
ЛС-770309016;2025-12;Всё включено;2088.12;0.0;-2088.12;2025-03-08;666851353814;+7(916)588-49-68;suspended
ЛС-776723248;2025-10;Бизнес-500;8584.97;8584.97;0.0;2025-10-08;2962071002;+7(906)823-93-85;active
ЛС-776723248;2025-11;Бизнес-500;11045.89;11045.89;0.0;2025-11-16;2962071002;+7(906)823-93-85;active
ЛС-776723248;2025-12;Бизнес-500;8568.69;8568.69;0.0;2025-12-21;2962071002;+7(906)823-93-85;active
ЛС-777632909;2025-10;Бизнес-500;9500.69;4382.96;-5117.73;2025-10-13;2962071002;7906823-93-85;active
ЛС-777632909;2025-11;Бизнес-500;10062.45;10062.45;-5117.73;2025-11-12;2962071002;7906823-93-85;active
ЛС-777632909;2025-12;Бизнес-500;9818.78;9818.78;-5117.73;2025-12-19;2962071002;7906823-93-85;active
ЛС-772791456;2025-10;Бизнес-500;8009.89;8009.89;0.0;2025-10-24;2962071002;+7(906)823-93-85;active
ЛС-772791456;2025-11;Бизнес-500;8372.57;8372.57;0.0;2025-11-21;2962071002;+7(906)823-93-85;active
ЛС-772791456;2025-12;Бизнес-500;10656.58;10656.58;0.0;2025-12-03;2962071002;+7(906)823-93-85;active
ЛС-660388608;2025-10;Корпоративный+;61931.48;61931.48;0.0;2025-10-27;1965699988;+7 905 633 23 67;active
ЛС-660388608;2025-11;Корпоративный+;56355.54;56355.54;0.0;2025-11-27;1965699988;+7 905 633 23 67;active
ЛС-660388608;2025-12;Корпоративный+;58507.79;58507.79;0.0;2025-12-05;1965699988;+7 905 633 23 67;active
ЛС-666803476;2025-10;Корпоративный+;66984.26;66984.26;0.0;2025-10-11;1965699988;+7(905)633-23-67;active
ЛС-666803476;2025-11;Корпоративный+;76824.64;76824.64;0.0;2025-11-02;1965699988;+7(905)633-23-67;active
ЛС-666803476;2025-12;Корпоративный+;52987.24;52987.24;0.0;2025-12-15;1965699988;+7(905)633-23-67;active
ЛС-664472649;2025-10;Корпоративный+;50488.44;50488.44;0.0;2025-10-06;1965699988;+7(905)633-23-67;active
ЛС-664472649;2025-11;Корпоративный+;63238.58;93557.4;30318.82;2025-11-07;1965699988;+7(905)633-23-67;active
ЛС-664472649;2025-12;Корпоративный+;79870.82;79870.82;30318.82;2025-12-21;1965699988;+7(905)633-23-67;active
ЛС-660827718;2025-10;Корпоративный+;59055.97;59055.97;0.0;2025-10-09;1965699988;+7(905)633-23-67;active
ЛС-660827718;2025-11;Корпоративный+;52800.2;52800.2;0.0;2025-11-03;1965699988;+7(905)633-23-67;active
ЛС-660827718;2025-12;Корпоративный+;61155.31;61155.31;0.0;2025-12-06;1965699988;+7(905)633-23-67;active
ЛС-544427173;2025-10;Бизнес-500;8207.15;8207.15;0.0;2025-10-24;8174654214;+7(905)491-59-52;active
ЛС-544427173;2025-11;Бизнес-500;10797.77;10797.77;0.0;2025-11-21;8174654214;+7(905)491-59-52;active
ЛС-544427173;2025-12;Бизнес-500;8364.8;0.0;-8364.8;;8174654214;+7(905)491-59-52;active
ЛС-524526969;2025-10;Всё включено;1958.33;1958.33;0.0;2025-10-01;936084937830;+7 961 316 88 95;active
ЛС-524526969;2025-11;Всё включено;1805.64;1805.64;0.0;2025-11-04;936084937830;+7 961 316 88 95;active
ЛС-524526969;2025-12;Всё включено;2491.71;2491.71;0.0;2025-12-05;936084937830;+7 961 316 88 95;active
ЛС-165899441;2025-10;Корпоративный+;64331.01;64331.01;0.0;2025-10-03;5665743748;+7(960)698-23-10;active
ЛС-165899441;2025-11;Корпоративный+;71922.9;38017.97;-33904.93;2025-11-05;5665743748;+7(960)698-23-10;active
ЛС-165899441;2025-12;Корпоративный+;61481.63;61481.63;-33904.93;2025-12-28;5665743748;+7(960)698-23-10;active
ЛС-167154544;2025-10;Корпоративный+;53994.39;53994.39;0.0;2025-10-05;5665743748;+7(960)698-23-10;active
ЛС-167154544;2025-11;Корпоративный+;52052.35;52052.35;0.0;2025-11-20;5665743748;+7(960)698-23-10;active
ЛС-167154544;2025-12;Корпоративный+;69500.61;69500.61;0.0;2025-12-24;5665743748;+7(960)698-23-10;active
ЛС-164328309;2025-10;Корпоративный+;68842.4;28358.92;-40483.48;2025-10-28;5665743748;89606982310;active
ЛС-164328309;2025-11;Корпоративный+;56517.34;56517.34;-40483.48;2025-11-05;5665743748;89606982310;active
ЛС-164328309;2025-12;Корпоративный+;72573.37;72573.37;-40483.48;2025-12-13;5665743748;89606982310;active
ЛС-166520744;2025-10;Корпоративный+;78897.46;78897.46;0.0;2025-10-05;5665743748;7960698-23-10;active
ЛС-166520744;2025-11;Корпоративный+;57433.59;57433.59;0.0;2025-11-08;5665743748;7960698-23-10;active
ЛС-166520744;2025-12;Корпоративный+;66601.9;66601.9;0.0;2025-12-20;5665743748;7960698-23-10;active
ЛС-166660993;2025-10;Корпоративный+;58547.62;58547.62;0.0;2025-10-01;5665743748;+7(960)698-23-10;active
ЛС-166660993;2025-11;Корпоративный+;75436.76;75436.76;0.0;2025-11-10;5665743748;+7(960)698-23-10;active
ЛС-166660993;2025-12;Корпоративный+;56163.37;56163.37;0.0;2025-12-07;5665743748;+7(960)698-23-10;active
ЛС-541103924;2025-10;Корпоративный+;72435.31;72435.31;0.0;2025-10-02;1425979270;+7(917)304-97-57;active
ЛС-541103924;2025-11;Корпоративный+;73514.05;73514.05;0.0;2025-11-08;1425979270;+7(917)304-97-57;active
ЛС-541103924;2025-12;Корпоративный+;64846.63;23108.61;-41738.02;2025-12-17;1425979270;+7(917)304-97-57;active
ЛС-540514770;2025-10;Корпоративный+;76661.74;90992.74;14331.0;2025-10-11;1425979270;+7(917)304-97-57;active
ЛС-540514770;2025-11;Корпоративный+;53959.49;53959.49;14331.0;2025-11-19;1425979270;+7(917)304-97-57;active
ЛС-540514770;2025-12;Корпоративный+;62625.91;62625.91;14331.0;2025-12-06;1425979270;+7(917)304-97-57;active
ЛС-777220054;2025-10;Бизнес-500;11050.9;11050.9;0.0;2025-10-25;2958837340;+7(916)215-29-97;active
ЛС-777220054;2025-11;Бизнес-500;8291.97;8291.97;0.0;2025-11-01;2958837340;+7(916)215-29-97;active
ЛС-777220054;2025-12;Бизнес-500;9048.74;9407.34;358.6;2025-12-26;2958837340;+7(916)215-29-97;active
ЛС-773645970;2025-10;Бизнес-500;9591.9;9591.9;0.0;2025-10-23;2958837340;+7(916)215-29-97;active
ЛС-773645970;2025-11;Бизнес-500;10004.2;10004.2;0.0;2025-11-23;2958837340;+7(916)215-29-97;active
ЛС-773645970;2025-12;Бизнес-500;9609.11;9609.11;0.0;2025-12-18;2958837340;+7(916)215-29-97;active
ЛС-771082207;2025-10;Бизнес-500;10464.19;10464.19;0.0;2025-10-10;2958837340;+7(916)215-29-97;active
ЛС-771082207;2025-11;Бизнес-500;8316.09;8316.09;0.0;2025-11-26;2958837340;+7(916)215-29-97;active
ЛС-771082207;2025-12;Бизнес-500;8621.51;8621.51;0.0;2025-12-19;2958837340;+7(916)215-29-97;active
ЛС-778113799;2025-10;Бизнес-500;10537.18;10537.18;0.0;2025-10-22;2958837340;+7(916)215-29-97;active
ЛС-778113799;2025-11;Бизнес-500;10572.62;10572.62;0.0;2025-11-14;2958837340;+7(916)215-29-97;active
ЛС-778113799;2025-12;Бизнес-500;10919.83;10919.83;0.0;2025-12-02;2958837340;+7(916)215-29-97;active
ЛС-661567566;2025-10;Игровой;1443.11;1443.11;0.0;2025-10-15;161706901497;89061821337;active
ЛС-661567566;2025-11;Игровой;1706.15;673.64;-1032.51;2025-11-06;161706901497;89061821337;active
ЛС-661567566;2025-12;Игровой;1459.72;1459.72;-1032.51;2025-12-23;161706901497;89061821337;active
ЛС-164798515;2025-10;Корпоративный+;50340.52;50340.52;0.0;2025-10-12;3294057202;+7(950)711-16-90;active
ЛС-164798515;2025-11;Корпоративный+;65690.16;65690.16;0.0;2025-11-24;3294057202;+7(950)711-16-90;active
ЛС-164798515;2025-12;Корпоративный+;57777.41;57777.41;0.0;2025-12-24;3294057202;+7(950)711-16-90;active
ЛС-168328182;2025-10;Корпоративный+;73433.72;73433.72;0.0;2025-10-04;3294057202;+7(950)711-16-90;active
ЛС-168328182;2025-11;Корпоративный+;73142.91;102801.11;29658.2;2025-11-09;3294057202;+7(950)711-16-90;active
ЛС-168328182;2025-12;Корпоративный+;65715.63;65715.63;29658.2;2025-12-19;3294057202;+7(950)711-16-90;active
ЛС-166886153;2025-10;Корпоративный+;68825.98;68825.98;0.0;2025-10-17;3294057202;+7(950)711-16-90;active
ЛС-166886153;2025-11;Корпоративный+;60803.72;60803.72;0.0;2025-11-19;3294057202;+7(950)711-16-90;active
ЛС-166886153;2025-12;Корпоративный+;55006.44;29514.31;-25492.13;2025-12-22;3294057202;+7(950)711-16-90;active
ЛС-163555439;2025-10;Корпоративный+;71683.35;71683.35;0.0;2025-10-17;3294057202;+7(950)711-16-90;active
ЛС-163555439;2025-11;Корпоративный+;50077.06;50077.06;0.0;2025-11-01;3294057202;+7(950)711-16-90;active
