client_id;segment;company_name;contact_name;inn;phone;email;region;manager;contract_date;account_numbers;status;last_activity_date
CLT-000032;B2B;"ПАО ""Лимитед""";Журавлева Евстафий Витальевич;9390847007;+7(960)536-97-23;"zhuravleva@p""limited.corp";Москва;Новикова Т.М.;2022-06-22;"ЛС-777115921;ЛС-772499856;ЛС-779847896;ЛС-771183673";active;2025-12-04
CLT-000477;B2C;;Аксенова Самуил Дмитриевна;553372201091;+7(910)210-67-26;aksenova741@yandex.ru;Ростов-на-Дону;;2023-08-06;ЛС-614559376;active;2025-10-23
CLT-000121;B2B;"АО ""Кабанов»""";Корнилова Тимур Артурович;8284639208;+7(961)589-79-14;kornilova@kabanov.pro;Казань;Фёдорова Л.С.;2024-05-29;"ЛС-165627187;ЛС-165003691;ЛС-165594284;ЛС-163479552;ЛС-167636556";active;2025-11-05
CLT-000123;B2B;Крюков Е.А., ИП;Никонов Орест Игнатович;4998245587;+7(980)180-58-88;nikonov@kryukove.a..solutions;Ростов-на-Дону;Новикова Т.М.;2023-11-04;"ЛС-617225699;ЛС-616112535;ЛС-615449647";active;2025-11-18
CLT-000290;B2B;"ЗАО ""Роскосмос""";Мишина Марина Антипович;5407931102;+7(909)632-22-41;цветков258@inbox.ru;Нижний Новгород;Лебедева Н.Г.;2024-12-02;"ЛС-521708760;ЛС-521467238";active;2025-10-03
CLT-000311;B2C;;Васильева Викентий Изотович;998645652203;+7(961)631-45-83;vasileva322@bk.ru;Казань;;2023-12-03;ЛС-165421447;active;2025-10-16
CLT-000024;B2B;Быков, ООО;Кузнецова Будимир Руслановна;5658404499;+7(981)986-29-67;kuznetsova@bykov.tech;Ростов-на-Дону;Фёдорова Л.С.;2021-10-18;"ЛС-617558867;ЛС-615339636;ЛС-610576627;ЛС-610289517;ЛС-611870262";active;2025-11-20
CLT-000830;B2C;;Устинова Сергей Фролович;478870584168;+7(905)493-99-19;ustinova715@yandex.ru;Санкт-Петербург;;2025-01-06;ЛС-789564799;active;2025-10-05
CLT-000095;B2B;"ООО ""«Бирюкова»""";Борисова Евграф Дмитриевич;8099917381;+7(960)642-48-62;borisova@biryukova.group;Ростов-на-Дону;Новикова Т.М.;2018-11-28;ЛС-612235697;active;2025-10-12
CLT-000010;B2B;"ПАО ""«Крылов""";Симонов Богдан Афанасьевна;9011280598;+7(910)540-26-15;"simonov@p""«krylov.group";Казань;Сидорова Е.В.;2018-06-08;"ЛС-165053315;ЛС-168692322;ЛС-166025634";active;2025-11-03
CLT-000337;B2C;;Мартынов Поликарп Валентиновна;250267551254;+7(915)578-79-33;martynov450@mail.ru;Новосибирск;;2021-10-31;ЛС-547996673;active;2025-12-17
CLT-000521;B2C;;Чернов Викентий Адрианович;540134808735;+7(926)343-71-95;chernov755@bk.ru;Казань;;2020-05-23;ЛС-162603359;active;2025-11-03
CLT-000684;B2C;;Егоров Аверкий Аркадьевна;174299074729;+7(961)533-85-48;egorov783@mail.ru;Нижний Новгород;;2025-03-16;ЛС-529967080;active;2025-10-23
CLT-000948;B2C;;Кондратьев Лонгин Вячеславович;208739221983;+7(960)680-19-51;kondratev224@inbox.ru;Нижний Новгород;;2024-10-05;ЛС-526710529;active;2025-10-14
CLT-000637;B2C;;Орлов Фортунат Харлампович;245430796373;+7(909)797-12-13;orlov662@bk.ru;Ростов-на-Дону;;2023-02-17;ЛС-617852211;active;2025-11-11
CLT-000126;B2B;"ПАО ""«Попов""";Кириллов Прасковья Терентьевич;5930853686;+7(960)355-30-92;"kirillov@p""«popov.group";Москва;Петров А.С.;2018-04-01;"ЛС-776341638;ЛС-779448463;ЛС-771224179;ЛС-777497350";active;2025-12-22
CLT-009003;B2C;;Евсеева Митофан Вадимовна;536541951802;+7(928)923-76-15;евсеева977@inbox.ru;Санкт-Петербург;;;;prospect;2025-10-15
CLT-000384;B2C;;Мамонтов Кондратий Димитриевич;289721540641;+7(980)536-84-31;mamontov777@inbox.ru;Новосибирск;;2021-09-15;ЛС-543811995;active;2025-12-24
CLT-000760;B2C;;Веселова Пантелеймон Марсович;372845397499;+7(951)123-67-10;veselova880@bk.ru;Ростов-на-Дону;;2019-03-30;ЛС-616406756;active;2025-10-03
CLT-000676;B2C;;Аксенова Ким Викентьевич;723421926221;+7(916)287-12-49;aksenova47@mail.ru;Казань;;2024-06-12;ЛС-162948314;active;2025-10-28
CLT-000366;B2C;;Стрелков Фома Афанасьевна;425797067349;+7(960)160-22-17;strelkov283@gmail.com;Москва;;2022-08-22;;active;2025-10-24
CLT-000255;B2C;"ООО ""Laboratories)""";Вышеслав Андреевич Жуков;3000534749;+7(909)541-33-42;zhukov@laboratories).group;Новосибирск;Фёдорова Л.С.;2018-11-03;"ЛС-545541108;ЛС-542555989;ЛС-545343961;ЛС-541291093";active;2025-10-15
CLT-000486;B2C;;Кулаков Эмилия Анисимович;478765530073;+7(903)684-55-12;kulakov665@gmail.com;Нижний Новгород;;2024-11-02;ЛС-526057121;active;2025-11-28
CLT-000735;B2C;;Горшков Екатерина Руслановна;722419768784;+7(926)584-69-20;gorshkov593@yandex.ru;Новосибирск;;2022-05-27;ЛС-543500618;churned;2025-06-22
CLT-000282;B2B;"АО ""«Котова»""";Валерия Захаровна Данилов;2583311703;+7(903)786-37-69;danilov@kotova.company;Новосибирск;Волков К.А.;2019-02-23;"ЛС-543715398;ЛС-548547281;ЛС-542356798;ЛС-543631462";active;2025-11-10
CLT-000467;B2C;;Дементьев Ипполит Робертовна;826032145057;+7(960)769-65-19;dementev302@bk.ru;Санкт-Петербург;;2022-09-19;ЛС-788870715;active;2025-11-25
CLT-000596;B2C;;Соколова Азарий Бенедиктович;892714724630;+7(906)982-86-79;sokolova728@inbox.ru;Новосибирск;;2024-01-16;ЛС-542423839;active;2025-10-13
CLT-000816;B2C;;Синклитикия Валентиновна Евдокимова;666229521797;+7(905)422-99-62;evdokimova13@inbox.ru;Ростов-на-Дону;;2019-05-05;ЛС-616162486;active;2025-10-02
CLT-000209;B2B;Мухина, ПАО;Кириллов Фрол Васильевна;8762282772;+7(909)811-37-68;"kirillov@p""«mukhina.pro";Нижний Новгород;Волков К.А.;2020-01-20;"ЛС-520285196;ЛС-521159408;ЛС-522154544;ЛС-527022960";active;2025-11-11
CLT-000428;B2C;;Терентьева Софрон Валерьевич;500615727682;+7(980)876-50-23;terenteva467@gmail.com;Санкт-Петербург;;2022-08-15;ЛС-783974292;active;2025-11-04
CLT-008578;B2C;;Данилова Дмитрий Альбертовна;863882145841;+7(925)982-94-76;danilova765@gmail.com;Нижний Новгород;;2021-09-27;ЛС-520191344;churned;2024-04-02
CLT-000059;B2B;"АО ""Нефтепродукттрейд""";Ильин Ольга Жанович;2751830469;+7(905)994-19-34;ilin@nefteprodukttreyd.corp;Санкт-Петербург;Петров А.С.;2020-06-25;"ЛС-788373540;ЛС-783317393;ЛС-786385467;ЛС-788544587;ЛС-787175355";active;2025-10-28
CLT-000340;B2C;;Ларионов Ефрем Игнатьевич;351786376731;+7(960)231-50-27;larionov792@inbox.ru;Екатеринбург;;2024-06-23;ЛС-664696815;active;2025-10-15
CLT-000227;B2B;"ЗАО ""Бирюков»""";Степанова Е.Т.;9597779014;+7(980)455-99-48;stepanova@biryukov.biz;Казань;Новикова Т.М.;2023-01-22;"ЛС-169263296;ЛС-167629160;ЛС-163248413;ЛС-167681511";active;2025-12-12
CLT-000820;B2C;;Колобова Агафон Гордеевич;976805702377;+7(906)655-43-41;kolobova826@mail.ru;Новосибирск;;2024-06-25;ЛС-549220956;active;2025-10-24
CLT-000891;B2C;;Дмитриев Прасковья Юльевна;869929644477;+7(915)430-11-78;dmitriev692@gmail.com;Санкт-Петербург;;2019-01-20;ЛС-783242348;active;2025-10-18
CLT-000513;B2C;;Савина Анжела Иосифович;276464489880;+7(917)848-23-57;savina570@yandex.ru;Нижний Новгород;;2019-09-10;;active;2025-12-08
CLT-000949;B2C;;Селиверстова Никон Жоресович;870745991530;+7(925)380-50-16;seliverstova829@mail.ru;Нижний Новгород;;2025-03-23;ЛС-520268387;active;2025-12-02
CLT-000192;B2B;Групп, ПАО;Гордеева Клавдий Гавриилович;5215291086;+7(980)947-96-73;"gordeeva@p""grupp.group";Казань;Морозов И.П.;2024-09-23;ЛС-163334476;active;2025-12-05
CLT-000932;B2C;;Матвеев Карп Ефимьевич;288711486005;+7(905)104-87-33;matveev277@gmail.com;Ростов-на-Дону;;2019-07-23;ЛС-612878757;active;2025-10-25
CLT-000728;B2C;;Максимова Ефрем Гурьевич;954582942034;+7(903)170-56-36;maksimova781@gmail.com;Нижний Новгород;;2025-06-12;ЛС-524660756;active;2025-11-17
CLT-000924;B2C;;Борисов Мина Афанасьевна;705190854327;+7(909)510-93-35;borisov901@mail.ru;Новосибирск;;2019-02-22;ЛС-543563693;active;2025-12-27
CLT-000839;B2C;;Прохоров Иван Тарасович;188295868419;+7(961)262-41-92;prokhorov173@yandex.ru;Санкт-Петербург;;2024-02-25;ЛС-780586942;active;2025-10-01
CLT-000172;B2B;ИП Зимин А.В.;Петухов Феоктист Ефимьевич;2788479513;+7(980)189-20-60;petukhov@zimina.v..company;Казань;Алексеев В.Р.;2023-04-26;"ЛС-164112412;ЛС-167238046";active;2025-12-11
CLT-000414;B2C;;Мухин Прокл Геннадиевна;615122946213;+7(950)399-20-55;mukhin819@bk.ru;Новосибирск;;2021-02-25;ЛС-540996254;active;2025-12-08
CLT-000689;B2B;;Дроздов Анжела Ануфриевич;405641849378;+7(926)542-67-82;drozdov515@mail.ru;Нижний Новгород;;2019-05-08;ЛС-520187260;active;2025-12-11
CLT-000607;B2C;;Орлов Филарет Артемовна;424728289540;+7(905)191-72-76;orlov188@bk.ru;Санкт-Петербург;;2023-05-15;ЛС-784731261;churned;2025-03-22
CLT-000683;B2C;;Медведев Екатерина Сергеевна;765686295912;+7(950)558-36-49;medvedev520@bk.ru;Нижний Новгород;;2023-11-18;ЛС-529255394;active;2025-12-05
CLT-000070;B2B;"ПАО ""«Веселов-Шашков»""";Пахомова Т.М.;3782827422;+7(950)962-67-89;"pakhomova@p""«veselovshashkov.biz";Екатеринбург;Фёдорова Л.С.;2023-07-08;;active;2025-12-28
CLT-000080;B2B;"ПАО ""партнеры""";Пономарева Устин Виленович;5138367024;+7(906)144-39-76;"ponomareva@p""partnery.tech";Ростов-на-Дону;Козлов Д.И.;2019-11-05;"ЛС-615719182;ЛС-616199062;ЛС-613445655;ЛС-617431329";active;2025-11-18
CLT-000662;B2C;;Игнатьев Ксения Глебович;389466527523;+7(916)236-76-29;ignatev813@bk.ru;Санкт-Петербург;;2020-03-17;ЛС-780202569;active;2025-12-08
CLT-000519;B2C;;Михайлова Михей Тихонович;705053766608;+7(909)219-26-64;mikhaylova962@mail.ru;Казань;;2019-12-29;ЛС-163083566;active;2025-11-10
CLT-000029;B2B;Федотов М.Б., ИП;Сафонов Платон Владиленович;3675869261;+7(981)730-62-45;safonov@fedotovm.b..company;Санкт-Петербург;Новикова Т.М.;2022-01-09;ЛС-785377351;active;2025-12-06
CLT-000939;B2C;;Соболева Яков Герасимович;829545038016;+7(910)443-81-54;soboleva363@mail.ru;Нижний Новгород;;2020-01-21;ЛС-522045028;active;2025-10-05
CLT-000882;B2C;;Гришина Валентин Архиповна;658422717266;+7(910)878-93-56;grishina376@inbox.ru;Санкт-Петербург;;2022-04-19;ЛС-784607001;active;2025-11-15
CLT-000016;B2B;"АО ""«Анисимова»""";Александров Творимир Николаевна;5668893734;+7(961)597-13-59;aleksandrov@anisimova.corp;Москва;Новикова Т.М.;2022-04-02;"ЛС-776272980;ЛС-776990162;ЛС-777204653";active;2025-11-02
CLT-000412;B2C;;Шашков Аникей Фадеевич;255323415959;+7(980)586-53-32;андреева958@gmail.com;Новосибирск;;2023-08-06;ЛС-548222618;active;2025-12-08
CLT-000144;B2B;"ООО ""«Ермакова»""";Елисеев Елизавета Валериевна;2622499982;+7(980)867-84-56;eliseev@ermakova.solutions;Москва;Алексеев В.Р.;2021-04-14;ЛС-771455616;active;2025-12-06
CLT-000857;B2C;;Осипова А.К.;826319956955;+7(915)754-33-72;osipova385@inbox.ru;Санкт-Петербург;;2022-08-17;ЛС-781490038;active;2025-10-12
CLT-000050;B2B;"ПАО ""«Дементьева-Рябов»""";Чернов Евдоким Геннадиевич;1983584168;+7(980)882-80-45;"chernov@p""«dementevaryabov.pro";Москва;Алексеев В.Р.;2023-12-21;"ЛС-779121655;ЛС-778523986;ЛС-778000257;ЛС-778729825;ЛС-779526949";active;2025-10-05
CLT-000501;B2C;;Миронов Зоя Феофанович;301904322302;+7(916)947-36-35;mironov303@yandex.ru;Нижний Новгород;;2021-04-16;ЛС-520739201;active;2025-12-10
CLT-000198;B2B;"АО ""«Фадеева»""";Киселева Роман Фадеевич;8327881476;+7(906)920-71-48;kiseleva@fadeeva.corp;Казань;Морозов И.П.;2023-03-19;"ЛС-162438649;ЛС-160810818";active;2025-11-09
CLT-000877;B2C;;Мишин Наркис Афанасьевна;303531607917;+7(909)310-79-58;дьячков894@rambler.ru;Новосибирск;;2020-02-05;ЛС-547117132;churned;2025-04-09
CLT-000304;B2C;;Рябова Борислав Антипович;404405809351;+7(906)619-66-24;ryabova80@bk.ru;Нижний Новгород;;2022-03-05;ЛС-523595616;active;2025-10-04
CLT-000960;B2C;;Шашков Кузьма Яковлевна;382471830181;+7(980)813-84-61;shashkov869@mail.ru;Санкт-Петербург;;2024-05-08;ЛС-785789849;active;2025-10-22
CLT-000092;B2B;ИП Суханов А.В.;Гуляева Казимир Вячеславович;1233030705;+7(916)380-57-69;gulyaeva@sukhanova.v..biz;Санкт-Петербург;Петров А.С.;2020-10-30;"ЛС-786103579;ЛС-787279855;ЛС-782414060;ЛС-782933334;ЛС-786800722";active;2025-11-28
CLT-000639;B2C;;Абрамова Якуб Степановна;877296656337;+7(903)214-45-17;abramova948@mail.ru;Санкт-Петербург;;2024-10-27;ЛС-782781055;active;2025-11-11
CLT-000374;B2C;;Коновалов Андрон Денисович;770450232902;+7(910)243-98-70;konovalov63@mail.ru;Нижний Новгород;;2020-12-07;ЛС-523459626;active;2025-12-25
CLT-000921;B2C;;Давыдов Петр Филатович;110162600802;+7(960)457-81-83;davydov686@yandex.ru;Новосибирск;;2022-07-29;ЛС-547597833;active;2025-12-02
CLT-000444;B2C;;Кудряшова Рюрик Филатович;639705487396;+7(909)110-97-26;kudryashova884@bk.ru;Екатеринбург;;2025-05-03;;active;2025-12-13
CLT-000699;B2C;;Данилова Вацлав Игнатьевич;729994664509;+7(903)806-14-24;danilova546@mail.ru;Ростов-на-Дону;;2021-08-16;ЛС-618573908;active;2025-12-16
CLT-000527;B2C;;Тихонова Селиверст Германович;446823948400;+7(915)589-38-10;tikhonova684@mail.ru;Новосибирск;;2023-05-05;ЛС-546966101;active;2025-12-05
CLT-000216;B2B;"ООО ""Лтд""";Нестеров Варлаам Феоктистович;9948706056;+7(961)380-25-97;nesterov@ltd.solutions;Санкт-Петербург;Волков К.А.;2019-03-18;"ЛС-787758030;ЛС-784687506;ЛС-783519036;ЛС-781332541;ЛС-781076095";active;2025-12-18
CLT-000392;B2C;;Орехов Федот Матвеевич;951253892187;+7(950)207-87-39;orekhov735@gmail.com;Новосибирск;;2023-11-29;ЛС-543749079;active;2025-10-23
CLT-000425;B2C;;Комиссарова Ипатий Антипович;457485953259;+7(917)825-85-88;komissarova833@yandex.ru;Новосибирск;;2023-04-23;ЛС-547970581;active;2025-12-04
CLT-000435;B2C;;Никонов Аполлинарий Тихонович;377894319100;+7(905)977-11-45;nikonov311@mail.ru;Казань;;2021-02-20;ЛС-166921053;active;2025-12-02
CLT-000156;B2B;"ЗАО ""Инкорпорэйтед""";Романов Иларион Ниловна;8868765326;+7(903)691-73-40;romanov@inkorporeyted.corp;Казань;Алексеев В.Р.;2024-06-08;"ЛС-164689500;ЛС-169751971;ЛС-162847818;ЛС-169137189;ЛС-164905807";active;2025-11-06
CLT-000613;B2C;;Фролов Владимир Богданович;165795515623;+7(915)846-11-86;frolov554@mail.ru;Нижний Новгород;;2020-02-21;ЛС-525107409;churned;2025-03-27
CLT-000316;B2C;;Вишняков Эммануил Антонович;876958741314;+7(961)557-51-41;vishnyakov119@inbox.ru;Нижний Новгород;;2024-06-26;ЛС-527515627;churned;2025-02-18
